type,trade_id,product_id,time,side,price,last_size,sequence,best_bid,best_ask,high_24h,low_24h,volume_24h,volume_30d,open_24h
ticker,44878361,BTC-USD,2018-06-15T20:32:09.425000Z,buy,6477.00000000,0.03830000,6096076008,6476.99,6477,6694.56000000,6445.00000000,7295.62860452,239283.96822702,6647.17000000
ticker,44878362,BTC-USD,2018-06-15T20:32:20.427000Z,buy,6477.00000000,0.00503523,6096077859,6476.99,6477,6694.56000000,6445.00000000,7295.63363975,239283.97326225,6647.17000000
ticker,44878363,BTC-USD,2018-06-15T20:32:20.427000Z,buy,6477.00000000,0.00501182,6096077861,6476.99,6477,6694.56000000,6445.00000000,7295.63865157,239283.97827407,6647.17000000
ticker,44878364,BTC-USD,2018-06-15T20:32:21.432000Z,buy,6477.00000000,0.00171000,6096078109,6476.99,6479.03,6694.56000000,6445.00000000,7295.64036157,239283.97998407,6647.17000000
ticker,44878365,BTC-USD,2018-06-15T20:32:21.432000Z,buy,6479.03000000,0.09039000,6096078111,6476.99,6479.03,6694.56000000,6445.00000000,7295.73075157,239284.07037407,6647.17000000
ticker,44878366,BTC-USD,2018-06-15T20:32:33.357000Z,buy,6479.04000000,0.11410000,6096079976,6479.03,6479.04,6694.56000000,6445.00000000,7315.26881055,239303.18246165,6647.17000000
ticker,44878367,BTC-USD,2018-06-15T20:32:35.747000Z,buy,6479.04000000,0.04616466,6096080225,6479.03,6479.04,6694.56000000,6445.00000000,7315.31497521,239303.22862631,6647.17000000
ticker,44878368,BTC-USD,2018-06-15T20:32:37.522000Z,buy,6479.04000000,0.00615528,6096080371,6479.03,6479.04,6694.56000000,6445.00000000,7315.32113049,239303.23478159,6647.17000000
ticker,44878369,BTC-USD,2018-06-15T20:32:46.205000Z,buy,6479.04000000,1.18170000,6096081076,6479.03,6479.04,6694.56000000,6445.00000000,7316.50283049,239304.41648159,6647.17000000
ticker,44878370,BTC-USD,2018-06-15T20:32:49.183000Z,buy,6479.04000000,1.25188006,6096081569,6479.03,6479.04,6694.56000000,6445.00000000,7317.75471055,239305.66836165,6647.17000000
ticker,44878371,BTC-USD,2018-06-15T20:32:49.183000Z,buy,6479.04000000,0.00193000,6096081571,6479.04,6480,6694.56000000,6445.00000000,7317.75664055,239305.67029165,6647.17000000
ticker,44878374,BTC-USD,2018-06-15T20:32:58.722000Z,buy,6480.00000000,0.07389413,6096082750,6479.99,6480,6694.56000000,6445.00000000,7317.83053468,239305.74418578,6647.17000000
ticker,44878375,BTC-USD,2018-06-15T20:33:10.630000Z,sell,6479.99000000,0.12330000,6096084310,6479.99,6480,6694.56000000,6445.00000000,7317.95383468,239305.86748578,6647.17000000
ticker,44878376,BTC-USD,2018-06-15T20:33:21.123000Z,buy,6480.00000000,0.01000000,6096084890,6479.99,6480,6694.56000000,6445.00000000,7317.96383468,239305.87748578,6647.17000000
ticker,44878377,BTC-USD,2018-06-15T20:33:21.123000Z,buy,6480.00000000,0.00130000,6096084892,6479.99,6480,6694.56000000,6445.00000000,7317.96513468,239305.87878578,6647.17000000
ticker,44878378,BTC-USD,2018-06-15T20:33:32.967000Z,buy,6480.00000000,0.05000000,6096086366,6479.99,6480,6694.56000000,6445.00000000,7315.8757876,239303.26073427,6647.94000000
ticker,44878379,BTC-USD,2018-06-15T20:33:32.967000Z,buy,6480.00000000,0.00159000,6096086368,6479.99,6482.75,6694.56000000,6445.00000000,7315.8773776,239303.26232427,6647.94000000
ticker,44878380,BTC-USD,2018-06-15T20:33:32.967000Z,buy,6482.75000000,0.00700000,6096086370,6479.99,6483.1,6694.56000000,6445.00000000,7315.8843776,239303.26932427,6647.94000000
ticker,44878381,BTC-USD,2018-06-15T20:33:32.967000Z,buy,6483.10000000,0.49451000,6096086372,6479.99,6483.1,6694.56000000,6445.00000000,7316.3788876,239303.76383427,6647.94000000
ticker,44878382,BTC-USD,2018-06-15T20:33:43.707000Z,sell,6483.99000000,0.46200000,6096087928,6483.99,6484,6694.56000000,6445.00000000,7316.8408876,239304.22583427,6647.94000000
ticker,44878383,BTC-USD,2018-06-15T20:33:49.154000Z,sell,6483.99000000,0.39450000,6096088578,6483.99,6484,6694.56000000,6445.00000000,7317.2353876,239304.62033427,6647.94000000
ticker,44878384,BTC-USD,2018-06-15T20:33:55.509000Z,buy,6484.00000000,0.00200000,6096090095,6483.99,6484,6694.56000000,6445.00000000,7317.2373876,239304.62233427,6647.94000000
ticker,44878385,BTC-USD,2018-06-15T20:33:55.509000Z,buy,6484.00000000,0.00148000,6096090097,6483.99,6484.01,6694.56000000,6445.00000000,7317.2388676,239304.62381427,6647.94000000
ticker,44878387,BTC-USD,2018-06-15T20:33:55.509000Z,buy,6484.10000000,0.04051598,6096090101,6483.99,6484.1,6694.56000000,6445.00000000,7317.27938358,239304.66433025,6647.94000000
ticker,44878388,BTC-USD,2018-06-15T20:34:02.114000Z,buy,6485.00000000,0.05000000,6096093496,6484.99,6485,6694.56000000,6445.00000000,7317.32938358,239304.71433025,6647.94000000
ticker,44878389,BTC-USD,2018-06-15T20:34:02.114000Z,buy,6485.00000000,0.45000000,6096093498,6484.99,6485,6694.56000000,6445.00000000,7317.77938358,239305.16433025,6647.94000000
ticker,44878390,BTC-USD,2018-06-15T20:34:06.794000Z,sell,6484.99000000,0.08600000,6096094584,6484.99,6485,6694.56000000,6445.00000000,7317.86538358,239305.25033025,6647.94000000
ticker,44878392,BTC-USD,2018-06-15T20:34:06.794000Z,sell,6484.99000000,0.02129212,6096094588,6484.99,6485,6694.56000000,6445.00000000,7317.8866757,239305.27162237,6647.94000000
